case,output_bit,input_width,feature_mode,matching_rows,total_rows,exact,epochs,weights
ex287,0,14,raw01,8700,16384,0,4,-8:5:1:4:4:1:5:1:1:1:2:5:-1:-5:-3
ex287,0,14,rawpm,9197,16384,0,4,-2:2:0:6:2:2:2:0:0:0:0:0:4:2:0
ex287,0,14,symkey01,9061,16384,0,4,-9:2:1:0:2:1:2:6:-1:6:2:7:0:-3:-2
ex287,0,14,symkeypm,8293,16384,0,4,-2:4:4:2:2:0:0:4:0:4:2:2:2:0:4
ex287,1,14,raw01,8705,16384,0,4,-5:13:-6:3:-4:-1:2:3:4:3:2:-5:1:1:0
ex287,1,14,rawpm,8963,16384,0,4,1:9:-3:1:-3:3:3:1:1:1:1:1:3:1:1
ex287,1,14,symkey01,8394,16384,0,4,-6:-2:2:2:0:2:3:14:-6:5:-4:-5:1:1:0
ex287,1,14,symkeypm,7727,16384,0,4,0:-2:2:4:2:-2:0:8:-6:0:-4:2:0:2:2
ex287,2,14,raw01,8866,16384,0,4,-10:-13:7:10:5:1:2:3:6:3:2:9:5:-4:-11
ex287,2,14,rawpm,8613,16384,0,4,0:-8:6:6:0:2:2:2:2:4:4:2:4:0:-2
ex287,2,14,symkey01,8768,16384,0,4,-9:-1:2:4:5:1:2:-12:8:10:5:6:3:-3:-7
ex287,2,14,symkeypm,9339,16384,0,4,3:1:3:1:3:1:3:-7:7:5:-1:3:3:-5:-3
ex287,3,14,raw01,8763,16384,0,4,-4:0:0:12:12:1:1:4:4:1:1:-5:6:-2:-9
ex287,3,14,rawpm,9022,16384,0,4,2:-2:0:8:8:2:0:2:4:-2:2:0:2:0:0
ex287,3,14,symkey01,8716,16384,0,4,-5:0:3:2:6:0:3:0:0:11:12:-5:4:-2:-4
ex287,3,14,symkeypm,9052,16384,0,4,1:1:1:1:3:-1:-1:-1:1:7:9:3:3:-5:-1
ex287,4,14,raw01,8207,16384,0,4,-9:-2:7:-2:-1:1:11:2:4:1:3:6:-2:8:-8
ex287,4,14,rawpm,9225,16384,0,4,0:-4:2:0:-2:2:4:0:2:2:2:2:0:0:4
ex287,4,14,symkey01,8574,16384,0,4,-5:-4:8:1:4:0:4:-3:8:-2:-4:5:-3:6:-3
ex287,4,14,symkeypm,9405,16384,0,4,0:-2:6:0:4:2:2:-2:4:0:-2:0:2:2:6
ex287,5,14,raw01,8496,16384,0,4,-4:13:-1:3:-2:4:10:1:3:1:4:-5:1:3:-8
ex287,5,14,rawpm,8280,16384,0,4,0:6:-2:2:0:2:6:2:4:0:0:-2:0:2:4
ex287,5,14,symkey01,8956,16384,0,4,-3:2:9:1:3:4:3:11:-1:3:-5:-6:1:1:0
ex287,5,14,symkeypm,9117,16384,0,4,2:0:6:2:0:0:0:8:-2:2:-4:-2:-2:4:4
ex287,6,14,raw01,8263,16384,0,4,-16:-16:-2:7:-3:7:2:8:8:1:1:7:5:6:-1
ex287,6,14,rawpm,8587,16384,0,4,-1:-11:3:7:-5:7:3:3:3:1:-3:1:-1:-1:1
ex287,6,14,symkey01,8036,16384,0,4,-15:11:3:11:5:1:-1:-13:-3:4:-4:7:2:2:1
ex287,6,14,symkeypm,8864,16384,0,4,0:8:4:6:6:0:0:-12:2:8:-2:2:-2:-2:0
ex287,7,14,raw01,9766,16384,0,4,-12:17:-4:8:-3:8:1:7:7:1:-3:-7:2:5:0
ex287,7,14,rawpm,9875,16384,0,4,-1:13:-1:9:-1:5:5:5:3:1:1:-1:-1:1:1
ex287,7,14,symkey01,9654,16384,0,4,-12:11:2:10:5:0:1:15:-4:7:-4:-7:0:2:-1
ex287,7,14,symkeypm,9856,16384,0,4,-2:8:6:10:4:0:0:12:0:6:0:-2:-4:0:0
ex287,8,14,raw01,8639,16384,0,4,-7:-2:5:3:2:0:0:-1:0:4:4:10:-4:-4:8
ex287,8,14,rawpm,9092,16384,0,4,1:-1:5:1:3:1:-1:1:-1:1:3:-1:-3:1:3
ex287,8,14,symkey01,8382,16384,0,4,-8:-1:0:0:1:5:2:-4:4:3:1:10:-3:-4:8
ex287,8,14,symkeypm,9320,16384,0,4,1:1:1:1:1:3:3:1:5:1:3:-1:-1:3:-1
ex287,9,14,raw01,8905,16384,0,4,-11:12:4:-3:6:0:0:1:0:2:4:-3:1:-2:10
ex287,9,14,rawpm,8201,16384,0,4,0:8:0:-4:6:2:0:0:-2:0:0:4:0:2:4
ex287,9,14,symkey01,8622,16384,0,4,-5:3:1:-1:1:3:1:12:4:-5:7:-2:1:-2:2
ex287,9,14,symkeypm,9217,16384,0,4,4:0:0:0:2:2:4:8:0:-4:6:4:-2:4:2
ex287,10,14,raw01,8770,16384,0,4,-16:-15:1:-8:15:1:0:1:2:5:5:11:7:-4:10
ex287,10,14,rawpm,8758,16384,0,4,-1:-15:3:-9:9:-1:1:-3:-1:5:9:5:5:3:1
ex287,10,14,symkey01,8594,16384,0,4,-11:0:1:0:2:6:4:-17:4:-13:14:8:5:-1:4
ex287,10,14,symkeypm,8541,16384,0,4,5:-5:-1:-3:1:7:5:-13:3:-7:9:3:3:7:1
ex287,11,14,raw01,9209,16384,0,4,-9:13:0:-2:9:-1:1:0:1:4:4:-6:6:-1:7
ex287,11,14,rawpm,9066,16384,0,4,0:12:0:-6:10:0:0:-2:0:6:4:2:0:2:2
ex287,11,14,symkey01,8949,16384,0,4,-7:-2:0:-2:1:3:2:12:0:-1:8:-7:4:-2:4
ex287,11,14,symkeypm,8865,16384,0,4,-1:-3:-1:-1:-1:7:3:9:-1:-7:9:1:1:7:-1
ex287,12,14,raw01,8504,16384,0,4,-13:-4:8:-2:5:3:1:0:0:3:3:10:-3:6:1
ex287,12,14,rawpm,8749,16384,0,4,0:-4:4:-2:4:4:0:0:-2:0:2:0:0:2:2
ex287,12,14,symkey01,8518,16384,0,4,-11:3:2:1:2:2:3:-3:10:-2:5:9:-1:4:-1
ex287,12,14,symkeypm,7673,16384,0,4,0:2:2:-2:0:2:0:-2:6:0:2:2:4:4:0
ex287,13,14,raw01,8673,16384,0,4,-10:8:3:-1:0:4:0:3:-1:1:3:-6:-2:2:7
ex287,13,14,rawpm,8650,16384,0,4,1:7:1:-1:1:-1:-1:1:3:1:1:1:1:-1:1
ex287,13,14,symkey01,9177,16384,0,4,-8:6:1:3:1:2:2:7:4:0:5:-7:1:1:1
ex287,13,14,symkeypm,9104,16384,0,4,-1:3:1:3:1:1:1:5:3:-1:5:1:5:-1:-1
